,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
0,NearestCentroid,0.751596877217885,0.7764162484707762,0.7764162484707763,0.7634988461007266,0.05700993537902832
1,BernoulliNB,0.730305180979418,0.7600778967867575,0.7600778967867575,0.7436827841424919,0.06451177597045898
2,GaussianNB,0.7004968062455642,0.7494132774074351,0.7494132774074351,0.7156671544525618,0.05801057815551758
3,LinearDiscriminantAnalysis,0.8005677785663591,0.7254400419444236,0.7254400419444236,0.7940939463831855,0.10251832008361816
4,LogisticRegression,0.8034066713981547,0.7243215239807255,0.7243215239807256,0.7957317076403781,0.14502549171447754
5,LinearSVC,0.7977288857345636,0.7118767632886425,0.7118767632886426,0.7881893672366682,0.42657470703125
6,CalibratedClassifierCV,0.7977288857345636,0.7111040371507752,0.7111040371507752,0.7879464282642362,1.3712408542633057
7,LGBMClassifier,0.7927608232789212,0.710743265173645,0.7107432651736451,0.7845533806713656,0.38606810569763184
8,AdaBoostClassifier,0.7934705464868701,0.7104636356827204,0.7104636356827205,0.7849387546096513,0.5490965843200684
9,XGBClassifier,0.7892122072391767,0.7098232342146655,0.7098232342146656,0.7819156015821228,0.733628511428833
10,RidgeClassifierCV,0.7977288857345636,0.7072404064614386,0.7072404064614386,0.7866997848299435,0.07901334762573242
11,RidgeClassifier,0.7970191625266146,0.7067473098144958,0.7067473098144958,0.7860789040371391,0.06251168251037598
12,SGDClassifier,0.7885024840312278,0.6985119716375802,0.6985119716375802,0.7778886408719203,0.13402366638183594
13,SVC,0.7963094393186657,0.6938905949616758,0.6938905949616757,0.7810964342620124,2.0478603839874268
14,KNeighborsClassifier,0.7558552164655784,0.6874204179462212,0.6874204179462212,0.7532461405596254,0.24554228782653809
15,RandomForestClassifier,0.7757274662881476,0.6811362444760692,0.6811362444760692,0.763919653888681,0.9281632900238037
16,BaggingClassifier,0.7693399574166075,0.6712892916885127,0.6712892916885127,0.7564711693709554,0.3930692672729492
17,DecisionTreeClassifier,0.7338537970191625,0.6659526127880557,0.6659526127880558,0.7326926189474925,0.10201764106750488
18,ExtraTreesClassifier,0.7579843860894251,0.6641724714752952,0.6641724714752952,0.7471442962515177,1.0961923599243164
19,NuSVC,0.7828246983676366,0.6621127006716101,0.6621127006716102,0.7600038478193868,2.3879199028015137
20,LabelPropagation,0.7239176721078779,0.6536401767657853,0.6536401767657855,0.722713143388199,1.5797791481018066
21,LabelSpreading,0.7196593328601846,0.6499088707462612,0.6499088707462612,0.7188883720539824,1.882331132888794
22,ExtraTreeClassifier,0.7061745919091554,0.6258582378348688,0.6258582378348687,0.7030345993944329,0.06151080131530762
23,QuadraticDiscriminantAnalysis,0.7260468417317246,0.5600741517489327,0.5600741517489327,0.6744163043994317,0.07801389694213867
24,Perceptron,0.7331440738112136,0.5255960851871271,0.5255960851871271,0.6350809050499014,0.05951094627380371
25,PassiveAggressiveClassifier,0.7253371185237757,0.5170811175192869,0.517081117519287,0.6261093664687524,0.06751203536987305
26,DummyClassifier,0.7196593328601846,0.5,0.5,0.6023397140076163,0.05601000785827637
